Customer ID,Interested in sustainable range,Gender,Age,"TikTok user, at least weekly",Prefer to eat vegan food,Occupation: Director / Managerial,Occupation: Office Worker,Occupation: Professional,Occupation: Retired,Occupation: Service Sector,Occupation: Skilled / Manual Worker,Occupation: Student,Occupation: Unemployed,Highest qualification achieved: GCSE or equivalent,Highest qualification achieved: A-level or equivalent,Highest qualification achieved: university degree or higher,Interests : antiques or fine art,Interests : meditation / mindfulness,Magazines read : celebrity,Has recently switched current account,Internet: moderate user,Internet: frequent user,"Uses Netflix, at least once a week","Facebook user, at least weekly","LinkedIn user, at least weekly","Snapchat user, at least weekly",I love to buy new gadgets and appliances,If an advert on the Internet looks interesting I will click on it,Watches catch-up TV / VoD with ads at least once a week,Watches ITV,Watches Channel 4,Watches Channel 5,Watches Sky 1,Watches Sky Atlantic,Takes own re-usable cup to a coffee shop/cafe,I prefer not to shop in major high street chains,I look for the lowest possible prices when I go shopping,I think more favourably of companies that sponsor events,I only buy products from a company whose ethics I agree with,Has bought something after seeing an ad on the internet in the past 12 months,Has bought something after seeing an email ad in the past 12 months,Has a current account with a neo challenger bank,Car shares journey to work,Interests : vegetarian products,Celebrities influence my purchase decisions,Tends to use a refillable water bottle most days,Internet: light user,Children at home : 0,Children at home : 1,Children at home : 2,Children at home : 3+
246,1,M,75+,0.2,1.7,0.3,0.6,1.1,91.7,0.7,1.1,0.5,0.1,23.7,29.8,4.8,21,2.7,1.7,0.6,21.1,3.2,5.4,18.1,0.7,0.5,10.8,6.1,16.1,81.5,48.6,42,13.8,7.7,5.3,15.9,33,11.9,26.4,3,2,0.1,0.3,7.4,1.8,28.5,5.5,98.8,0.9,0.3,0
364,1,F,25-34,31.4,19.5,4.7,10.8,40.2,0,19.5,7.8,5.2,2.1,12.4,29.5,54.9,17.5,9.7,6.2,5.1,56.7,42,68.9,82.3,18.6,59.3,42.4,51.4,73.3,69.4,44.7,34.1,20.4,16.5,20.7,20.9,68.9,36.7,46.4,26.6,15.4,6.8,9.3,31.9,16.9,67.3,0.7,38.3,27.3,24.8,9.7
601,0,M,25-34,31.32,21.68,3.1,8.82,26.54,0.01,24.61,7.54,8.09,4,14.54,34,44.87,14.45,8.03,8.15,4.16,69.71,28.19,68.96,82.34,21.19,58.62,45.22,49.37,73.14,71.77,46.64,37,20.18,14.1,20.67,21.29,66.41,36.72,47.26,23.5,15.31,7.37,7.03,26.9,24.89,66.56,1.22,27.52,22.79,27.62,22.07
725,1,M,25-34,28.2,13.4,2.1,7.3,20.6,0,29.1,13,6.7,4.1,27.1,37.5,24.7,15.8,6.8,6.5,4.5,55.3,42.5,68.7,83,15.3,53.2,45.5,49.6,73.2,71.1,50.6,39.1,27.7,20.8,16.2,20,72.3,33.7,46.4,23.1,9.6,3.9,11.9,18.5,15.6,64.3,1.4,15.6,39.4,33.8,11.2
768,0,M,35-44,15.45,22.69,9.71,9.51,43.1,0.11,10.01,5.17,4.55,1.36,8.85,29.68,60.12,21.06,9.36,4.7,5.25,46.02,52.66,57.11,75.52,20.26,34.53,41.08,38.92,72.01,80.88,60.77,47,23.36,20.26,21.75,18.57,63.1,26.1,41.74,24.89,20.01,6.56,6.98,32.44,17.95,65.71,0.71,43.99,17.92,29.2,8.89
848,0,M,65-74,1.3,3.06,1.3,2.06,5.15,73.06,2.5,1.73,1.08,0.1,24.19,29.47,29.38,27.35,4.43,1.62,2.01,57.85,29.04,19.98,54.01,3.76,2.29,13.06,19.31,53.85,86.28,53.34,46.84,17.39,12.37,9.62,16.2,39.16,12.75,30.03,12.82,9.41,2,1.27,15.53,1.52,37.89,4.1,56.12,18.9,20.34,4.64
855,1,F,55-64,2.7,5,5.4,8.1,24.2,7.7,10.5,12.3,0.6,1.7,25.5,40.5,25.3,25.3,7.6,1.8,2.3,48.2,48.2,29.3,61.1,7.6,6.6,20.9,25.9,61.8,89,72.3,57.6,28.6,21.1,11.7,14.9,49.5,15.4,29.9,18.4,12.1,1.2,2.9,14.4,1.9,47.3,2,38.3,23.8,31.4,6.5
923,1,F,35-44,16.9,12.9,6.1,11.3,32.8,0,21.3,13.3,1.4,2,24.5,39.9,30.2,17,7.1,4.6,3.3,51.4,47.4,56.2,79.2,12.3,31.1,41.3,44.5,71.7,79.3,66.2,49.3,34.4,24.7,20.3,17,69.2,28.1,40.6,21.7,14.6,2.7,10.6,20.7,10.9,61.7,0.8,16.9,25.5,40,17.5
958,1,M,55-64,2.2,5.1,3.4,9.2,17.8,7.3,13.5,16.8,0.4,2.4,33.1,37.1,14.9,24.9,4.9,2.1,2.2,49.3,44.1,28.9,59.5,6.4,6.1,22,24.6,60.9,86.5,67.6,58,28.9,20.3,9.7,18.6,50.4,13.7,29.8,15.6,11.5,1.1,3.1,13,2.3,41.1,3.6,84.4,9.9,4.9,0.7
1044,1,M,65-74,0.8,4.7,1.8,2.2,5.6,80.5,2.4,2,0.7,0,24,34.9,27,32.1,4.4,1.5,2,57,33.4,18.1,55.8,4.1,1.2,15.5,15.8,54.2,87.3,63.6,54.4,19.8,14.6,12.2,16.6,35.5,10.7,28.9,13.3,11.9,1.6,0.6,16.6,1.6,43.8,5.5,94.2,3.5,2.1,0.2
