Customer ID,Gender,Age,"TikTok user, at least weekly",Prefer to eat vegan food,Occupation: Director / Managerial,Occupation: Office Worker,Occupation: Professional,Occupation: Retired,Occupation: Service Sector,Occupation: Skilled / Manual Worker,Occupation: Student,Occupation: Unemployed,Highest qualification achieved: GCSE or equivalent,Highest qualification achieved: A-level or equivalent,Highest qualification achieved: university degree or higher,Interests : antiques or fine art,Interests : meditation / mindfulness,Magazines read : celebrity,Has recently switched current account,Internet: moderate user,Internet: frequent user,"Uses Netflix, at least once a week","Facebook user, at least weekly","LinkedIn user, at least weekly","Snapchat user, at least weekly",I love to buy new gadgets and appliances,If an advert on the Internet looks interesting I will click on it,Watches catch-up TV / VoD with ads at least once a week,Watches ITV,Watches Channel 4,Watches Channel 5,Watches Sky 1,Watches Sky Atlantic,Takes own re-usable cup to a coffee shop/cafe,I prefer not to shop in major high street chains,I look for the lowest possible prices when I go shopping,I think more favourably of companies that sponsor events,I only buy products from a company whose ethics I agree with,Has bought something after seeing an ad on the internet in the past 12 months,Has bought something after seeing an email ad in the past 12 months,Has a current account with a neo challenger bank,Car shares journey to work,Interests : vegetarian products,Celebrities influence my purchase decisions,Tends to use a refillable water bottle most days,Internet: light user,Children at home : 0,Children at home : 1,Children at home : 2,Children at home : 3+
944839,O,45-54,6.03,9.39,7.66,10.49,28.45,0.76,15.79,11.06,0.9,1.34,25.95,42.52,25.86,23.91,7.78,1.99,3.65,41.17,55.12,43.51,70.79,10.35,13.53,30.15,31.93,65.82,83.64,67.73,54.87,27.24,22.65,15.1,18.2,57.36,19.31,35.37,18.73,14.29,2.25,3.84,19.42,4.95,54.56,2.7,53.67,20.73,20.47,5.14
587424,M,35-44,13.81,41.33,6.16,9,36.45,0.07,8.89,7.76,5.28,1.55,9.48,41.56,46.99,16.31,4.06,7.56,3.83,56.2,43.12,59.68,77.9,17.17,38.99,59.19,40.6,72.83,79.76,70.65,51.64,37.64,26.37,20.08,17.09,61.16,25.05,42.34,23.7,22.48,5.31,7.24,18.64,53.66,65.15,0.51,11.89,25.9,40.1,22.11
417570,M,25-34,41.01,18.11,4.44,12.7,29.51,0.01,23.68,4.86,7.67,3.36,12.93,22.1,61.01,17.94,9.67,5.97,3.62,70.28,28.16,70.78,77.22,33.58,61.15,50.5,55.68,73.47,68.89,50.4,35.27,23.96,19.64,27.15,18.63,71.08,42.99,54.33,25.77,13.98,13.31,11.63,20.4,14.8,69.15,1.12,7.96,14.6,35.15,42.29
923089,O,55-64,2.85,4.39,7.92,4.31,21.97,12.48,5.83,34.16,0.53,6.14,27.32,41.76,20.14,23.32,3.51,0.96,2.98,40.74,56,29.42,48.92,11.38,4.81,29.33,24.78,60.86,84.78,61.66,49.55,29.12,22.35,10.31,18.51,47.9,17.19,28.63,22.02,11.5,1.15,4.93,10.6,2.31,34.89,1.95,71.66,14.09,12.27,1.97
774777,M,75+,8.94,9.75,17.93,3.74,29.52,3.64,4.53,18.29,8.94,3.27,10.83,38.15,48.55,23.17,4.66,0.76,4.51,27.92,67.92,45.22,62.22,21.21,15.71,41.85,30.16,63.36,76.01,57.81,42.66,18.7,18.19,17.92,25.41,55,25.53,38.35,26.41,16.51,3.97,3.72,20.99,5.93,47.74,1.62,75.64,11.5,10.28,2.57
917586,F,75+,3.89,5.07,11.6,2.06,16.96,51.56,1.64,7.77,4.58,0.54,11.66,35.8,48.26,20.88,3.58,0.47,3.05,39.91,46.15,27.77,49.87,11.75,5.54,32.49,23.08,55.49,85,72.73,50.7,21.73,16.7,12.1,17.25,43.83,19.77,30.96,19.75,12.97,2.4,1.91,12.34,2.86,38.77,3,86.44,6.58,5.93,1.05
54915,F,65-74,2.8,6.12,5.65,5.01,16.18,22.22,5.17,2.61,3.71,0.39,18.61,38.72,37.45,25.81,6.83,1.63,2.72,51.88,40.09,31.14,64.39,7.42,5.49,23.44,23.68,59,84.52,77.79,54.24,22.82,17.65,16.43,13.47,46.62,16.01,33.06,16.5,12.42,2.2,1.93,15.46,2.3,51.66,3.93,84.4,9.1,5.77,0.73
310857,F,25-34,17.95,23.42,10.86,12.03,38.82,0.1,13.4,5.68,3.36,2.15,9.87,24.32,63.89,25.08,13.53,6.57,5.26,35.34,64.26,56.56,79.52,28.65,29.36,35.08,45.6,63.99,59.49,44.11,31.55,14.53,12.67,26.78,24.84,58.28,30.33,48.21,20.45,13.32,22.3,7.31,41.93,12.71,65.15,0.18,63.15,18.45,15.54,2.87
564900,M,55-64,7.76,9.67,14.22,3.92,29.17,16.39,3.29,12.35,8.61,1.97,13.82,39.74,43.5,18.41,3.12,0.79,4.5,43.3,53.18,40.49,61.47,16.21,11.46,45.06,29.48,64.6,82.83,72.75,50.16,30.95,22.25,14.62,16.75,48.67,21.5,34.31,22.95,16.04,4.16,3.94,12.66,7.48,44.99,2,62.6,14.66,17.82,4.92
133643,M,55-64,5.49,6.16,6.87,2.42,13.69,15.4,6.02,28.68,2.21,5.71,28.77,37.72,17.87,17.44,3.29,0.62,2.9,45.51,49.69,33.39,56.52,13.47,8.37,37.21,27.96,59.78,76.78,57.6,50.98,24.6,17.88,8.75,20.86,49.52,22.86,32.93,21.19,10.7,2.7,3.13,9.52,3.91,32.98,1.71,57.53,20.16,17.3,5.01
